,Location,Accident_Type,Accident_Count,Year_Column,Date,Accident_Category
1458,Total,Total,192094,2023,2023-01-01,Total
1459,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,2123,2014,2014-12-01,Material Damage
1460,Total,Total,236826,2019,2019-11-01,Total
1461,On motorways/freeways,Other accidents involving material damage,10053,2020,2020-02-01,Other Material Damage
1462,Total,Other accidents involving intoxication,1358,2018,2018-09-01,Intoxication
1463,Inside built-up areas,Personal injury accidents,17790,2013,2013-05-01,Personal Injury
1464,On motorways/freeways,Other accidents involving material damage,11724,2014,2014-07-01,Other Material Damage
1465,Total,Personal injury accidents,21666,2022,2022-03-01,Personal Injury
1466,Total,Personal injury accidents,23201,2012,2012-11-01,Personal Injury
1467,On motorways/freeways,Personal injury accidents,1823,2018,2018-09-01,Personal Injury
1468,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1900,2014,2014-01-01,Material Damage
1469,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,701,2021,2021-03-01,Material Damage
1470,Total,Personal injury accidents,18771,2019,2019-02-01,Personal Injury
1471,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1374,2014,2014-09-01,Material Damage
1472,Total,Other accidents involving material damage,187825,2019,2019-03-01,Other Material Damage
1473,Inside built-up areas,Total,138542,2014,2014-08-01,Total
1474,On motorways/freeways,Personal injury accidents,1692,2018,2018-12-01,Personal Injury
1475,Inside built-up areas,Personal injury accidents,12319,2020,2020-04-01,Personal Injury
1476,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,176,2011,2011-09-01,Intoxication
1477,Outside built-up areas (excl. motorways/freeways),Total,43318,2015,2015-05-01,Total
1478,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,140,2016,2016-06-01,Intoxication
1479,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,779,2024,2024-10-01,Material Damage
1480,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,739,2011,2011-11-01,Material Damage
1481,Inside built-up areas,Other accidents involving intoxication,866,2023,2023-02-01,Intoxication
1482,On motorways/freeways,Total,12627,2015,2015-12-01,Total
1483,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1549,2011,2011-05-01,Material Damage
1484,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,181,2015,2015-10-01,Intoxication
1485,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,1075,2011,2011-08-01,Material Damage
1486,Total,Serious acc. invol. mat.damage in the nearer sense,7778,2013,2013-02-01,Material Damage
1487,On motorways/freeways,Other accidents involving intoxication,77,2024,2024-03-01,Intoxication
1488,On motorways/freeways,Total,15361,2017,2017-06-01,Total
1489,Total,Total,199004,2020,2020-02-01,Total
1490,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,4228,2014,2014-12-01,Material Damage
1491,Outside built-up areas (excl. motorways/freeways),Total,41996,2024,2024-07-01,Total
1492,On motorways/freeways,Other accidents involving material damage,10882,2018,2018-01-01,Other Material Damage
1493,On motorways/freeways,Personal injury accidents,1587,2018,2018-01-01,Personal Injury
1494,Total,Total,152309,2021,2021-02-01,Total
1495,On motorways/freeways,Personal injury accidents,1382,2012,2012-01-01,Personal Injury
1496,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,737,2014,2014-04-01,Material Damage
1497,On motorways/freeways,Other accidents involving intoxication,58,2015,2015-11-01,Intoxication
1498,Total,Total,227386,2019,2019-09-01,Total
1499,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,6899,2018,2018-06-01,Personal Injury
1500,Total,Serious acc. invol. mat.damage in the nearer sense,6295,2019,2019-11-01,Material Damage
1501,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7046,2020,2020-07-01,Personal Injury
1502,Inside built-up areas,Other accidents involving intoxication,1107,2016,2016-05-01,Intoxication
1503,On motorways/freeways,Personal injury accidents,1567,2012,2012-09-01,Personal Injury
1504,Total,Personal injury accidents,27889,2021,2021-07-01,Personal Injury
1505,Outside built-up areas (excl. motorways/freeways),Total,41847,2016,2016-09-01,Total
1506,On motorways/freeways,Personal injury accidents,1596,2015,2015-05-01,Personal Injury
1507,Total,Serious acc. invol. mat.damage in the nearer sense,5725,2020,2020-10-01,Material Damage
1508,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1292,2024,2024-04-01,Material Damage
1509,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,979,2024,2024-07-01,Material Damage
1510,Outside built-up areas (excl. motorways/freeways),Total,39726,2022,2022-06-01,Total
1511,On motorways/freeways,Total,14681,2023,2023-10-01,Total
1512,Inside built-up areas,Other accidents involving material damage,120585,2011,2011-07-01,Other Material Damage
1513,Total,Other accidents involving material damage,182230,2022,2022-05-01,Other Material Damage
1514,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,4852,2023,2023-03-01,Personal Injury
1515,Total,Serious acc. invol. mat.damage in the nearer sense,5138,2024,2024-05-01,Material Damage
1516,Total,Personal injury accidents,27610,2013,2013-09-01,Personal Injury
1517,Total,Other accidents involving material damage,198242,2018,2018-11-01,Other Material Damage
1518,Outside built-up areas (excl. motorways/freeways),Total,37424,2020,2020-12-01,Total
1519,Total,Total,214744,2022,2022-11-01,Total
1520,Inside built-up areas,Personal injury accidents,12797,2018,2018-03-01,Personal Injury
1521,Inside built-up areas,Other accidents involving material damage,134972,2022,2022-10-01,Other Material Damage
1522,Total,Other accidents involving material damage,174647,2015,2015-05-01,Other Material Damage
1523,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,2573,2021,2021-05-01,Material Damage
1524,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,6747,2012,2012-06-01,Personal Injury
1525,Total,Total,226850,2016,2016-06-01,Total
1526,On motorways/freeways,Total,13076,2023,2023-03-01,Total
1527,Total,Total,227325,2023,2023-11-01,Total
1528,Total,Personal injury accidents,19280,2017,2017-01-01,Personal Injury
1529,Inside built-up areas,Other accidents involving intoxication,1084,2014,2014-11-01,Intoxication
1530,On motorways/freeways,Total,13247,2013,2013-11-01,Total
1531,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1912,2017,2017-11-01,Material Damage
1532,Outside built-up areas (excl. motorways/freeways),Total,37296,2013,2013-04-01,Total
1533,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1352,2017,2017-08-01,Material Damage
1534,On motorways/freeways,Other accidents involving intoxication,55,2017,2017-04-01,Intoxication
1535,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,6231,2022,2022-09-01,Personal Injury
1536,Inside built-up areas,Other accidents involving intoxication,1005,2016,2016-04-01,Intoxication
1537,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,32506,2021,2021-06-01,Other Material Damage
1538,Total,Serious acc. invol. mat.damage in the nearer sense,5664,2022,2022-11-01,Material Damage
1539,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,36612,2022,2022-11-01,Other Material Damage
1540,Inside built-up areas,Other accidents involving intoxication,1252,2011,2011-08-01,Intoxication
1541,On motorways/freeways,Personal injury accidents,1359,2012,2012-12-01,Personal Injury
1542,Total,Other accidents involving material damage,171965,2023,2023-07-01,Other Material Damage
1543,Inside built-up areas,Total,147144,2012,2012-07-01,Total
1544,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,30612,2013,2013-09-01,Other Material Damage
1545,Total,Other accidents involving material damage,177969,2017,2017-08-01,Other Material Damage
1546,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1299,2021,2021-08-01,Material Damage
1547,On motorways/freeways,Other accidents involving intoxication,45,2012,2012-07-01,Intoxication
1548,Total,Serious acc. invol. mat.damage in the nearer sense,5253,2015,2015-03-01,Material Damage
1549,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,5967,2020,2020-10-01,Personal Injury
1550,On motorways/freeways,Other accidents involving intoxication,71,2024,2024-02-01,Intoxication
1551,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,4717,2022,2022-12-01,Personal Injury
1552,Inside built-up areas,Other accidents involving material damage,132993,2012,2012-12-01,Other Material Damage
1553,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3406,2017,2017-05-01,Material Damage
1554,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3548,2011,2011-02-01,Material Damage
1555,Inside built-up areas,Other accidents involving intoxication,1090,2015,2015-07-01,Intoxication
1556,Total,Total,219182,2023,2023-09-01,Total
1557,Inside built-up areas,Other accidents involving intoxication,1156,2021,2021-10-01,Intoxication
1558,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1742,2021,2021-11-01,Material Damage
1559,Total,Serious acc. invol. mat.damage in the nearer sense,4886,2019,2019-04-01,Material Damage
1560,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,27814,2011,2011-08-01,Other Material Damage
1561,Inside built-up areas,Personal injury accidents,16587,2012,2012-03-01,Personal Injury
1562,Total,Total,223862,2018,2018-09-01,Total
1563,Inside built-up areas,Other accidents involving intoxication,925,2023,2023-03-01,Intoxication
1564,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,0,2024,2024-12-01,Other Material Damage
1565,Inside built-up areas,Personal injury accidents,16637,2019,2019-11-01,Personal Injury
1566,Total,Personal injury accidents,23792,2014,2014-11-01,Personal Injury
1567,Total,Other accidents involving material damage,161264,2011,2011-07-01,Other Material Damage
1568,On motorways/freeways,Other accidents involving material damage,10724,2013,2013-11-01,Other Material Damage
1569,Inside built-up areas,Total,165284,2015,2015-10-01,Total
1570,On motorways/freeways,Other accidents involving material damage,10281,2015,2015-12-01,Other Material Damage
1571,Total,Total,187107,2016,2016-02-01,Total
1572,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3041,2019,2019-04-01,Material Damage
1573,Outside built-up areas (excl. motorways/freeways),Total,33864,2011,2011-03-01,Total
1574,Outside built-up areas (excl. motorways/freeways),Total,38818,2012,2012-08-01,Total
1575,Outside built-up areas (excl. motorways/freeways),Total,48775,2017,2017-12-01,Total
1576,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,40552,2017,2017-12-01,Other Material Damage
1577,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1505,2016,2016-03-01,Material Damage
1578,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,2733,2022,2022-02-01,Material Damage
1579,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,34111,2018,2018-08-01,Other Material Damage
1580,On motorways/freeways,Total,12780,2013,2013-05-01,Total
1581,Inside built-up areas,Total,149400,2017,2017-04-01,Total
1582,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,4421,2012,2012-10-01,Material Damage
1583,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1655,2019,2019-10-01,Material Damage
1584,Inside built-up areas,Other accidents involving material damage,139542,2018,2018-07-01,Other Material Damage
1585,On motorways/freeways,Other accidents involving intoxication,88,2023,2023-05-01,Intoxication
1586,Inside built-up areas,Other accidents involving intoxication,0,2024,2024-12-01,Intoxication
1587,Inside built-up areas,Personal injury accidents,19667,2019,2019-08-01,Personal Injury
1588,Outside built-up areas (excl. motorways/freeways),Total,42325,2019,2019-06-01,Total
1589,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,122,2017,2017-03-01,Intoxication
1590,Total,Personal injury accidents,20636,2024,2024-03-01,Personal Injury
1591,Outside built-up areas (excl. motorways/freeways),Total,44318,2018,2018-01-01,Total
1592,Inside built-up areas,Other accidents involving material damage,145003,2016,2016-06-01,Other Material Damage
1593,Total,Serious acc. invol. mat.damage in the nearer sense,4922,2021,2021-09-01,Material Damage
1594,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,34219,2023,2023-07-01,Other Material Damage
1595,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1260,2019,2019-07-01,Material Damage
1596,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1153,2022,2022-05-01,Material Damage
1597,Inside built-up areas,Other accidents involving material damage,131115,2024,2024-03-01,Other Material Damage
1598,Inside built-up areas,Total,165999,2018,2018-09-01,Total
1599,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,37833,2020,2020-10-01,Other Material Damage
1600,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,185,2011,2011-10-01,Intoxication
1601,Total,Total,225493,2023,2023-05-01,Total
1602,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,1158,2016,2016-06-01,Material Damage
1603,On motorways/freeways,Total,12580,2018,2018-02-01,Total
1604,Inside built-up areas,Total,138716,2023,2023-01-01,Total
1605,Total,Other accidents involving intoxication,1295,2018,2018-04-01,Intoxication
1606,Total,Serious acc. invol. mat.damage in the nearer sense,3371,2020,2020-04-01,Material Damage
1607,On motorways/freeways,Total,15795,2019,2019-07-01,Total
1608,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,5142,2019,2019-03-01,Personal Injury
1609,Inside built-up areas,Total,160851,2024,2024-06-01,Total
1610,On motorways/freeways,Total,12400,2012,2012-09-01,Total
1611,Inside built-up areas,Other accidents involving material damage,115356,2021,2021-05-01,Other Material Damage
1612,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,790,2022,2022-11-01,Material Damage
1613,Total,Other accidents involving material damage,168736,2024,2024-08-01,Other Material Damage
1614,On motorways/freeways,Total,12065,2011,2011-04-01,Total
1615,Outside built-up areas (excl. motorways/freeways),Total,47554,2015,2015-11-01,Total
1616,On motorways/freeways,Other accidents involving intoxication,83,2019,2019-11-01,Intoxication
1617,Total,Personal injury accidents,28583,2011,2011-08-01,Personal Injury
1618,On motorways/freeways,Personal injury accidents,1422,2020,2020-02-01,Personal Injury
1619,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,674,2019,2019-02-01,Material Damage
1620,Inside built-up areas,Total,152796,2022,2022-12-01,Total
1621,Inside built-up areas,Personal injury accidents,13126,2021,2021-12-01,Personal Injury
1622,Inside built-up areas,Other accidents involving material damage,135238,2015,2015-09-01,Other Material Damage
1623,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,181,2023,2023-04-01,Intoxication
1624,Inside built-up areas,Other accidents involving material damage,117902,2013,2013-08-01,Other Material Damage
1625,Inside built-up areas,Other accidents involving intoxication,922,2013,2013-02-01,Intoxication
1626,Total,Serious acc. invol. mat.damage in the nearer sense,7124,2011,2011-01-01,Material Damage
1627,Inside built-up areas,Personal injury accidents,7768,2021,2021-01-01,Personal Injury
1628,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,4463,2015,2015-02-01,Personal Injury
1629,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,32754,2020,2020-09-01,Other Material Damage
1630,Total,Other accidents involving material damage,161069,2012,2012-01-01,Other Material Damage
1631,Total,Serious acc. invol. mat.damage in the nearer sense,6280,2012,2012-06-01,Material Damage
1632,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,2217,2012,2012-02-01,Material Damage
1633,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,166,2024,2024-01-01,Intoxication
1634,Total,Serious acc. invol. mat.damage in the nearer sense,6481,2017,2017-10-01,Material Damage
1635,Total,Total,188566,2020,2020-06-01,Total
1636,Total,Total,217626,2015,2015-12-01,Total
1637,On motorways/freeways,Other accidents involving intoxication,63,2016,2016-07-01,Intoxication
1638,Total,Serious acc. invol. mat.damage in the nearer sense,0,2024,2024-12-01,Material Damage
1639,Total,Total,234570,2019,2019-05-01,Total
1640,Total,Total,199252,2013,2013-03-01,Total
1641,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,4090,2016,2016-11-01,Material Damage
1642,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,208,2021,2021-11-01,Intoxication
1643,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,35199,2013,2013-10-01,Other Material Damage
1644,Inside built-up areas,Personal injury accidents,18079,2015,2015-10-01,Personal Injury
1645,On motorways/freeways,Other accidents involving material damage,7784,2020,2020-11-01,Other Material Damage
1646,On motorways/freeways,Other accidents involving material damage,9893,2022,2022-12-01,Other Material Damage
1647,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,39033,2015,2015-11-01,Other Material Damage
1648,Inside built-up areas,Personal injury accidents,21841,2015,2015-07-01,Personal Injury
1649,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,188,2012,2012-06-01,Intoxication
1650,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3804,2012,2012-07-01,Material Damage
1651,Total,Other accidents involving material damage,148349,2021,2021-04-01,Other Material Damage
1652,Inside built-up areas,Total,170655,2019,2019-05-01,Total
1653,Total,Personal injury accidents,22382,2016,2016-12-01,Personal Injury
1654,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,6637,2011,2011-12-01,Personal Injury
1655,Inside built-up areas,Personal injury accidents,19974,2011,2011-06-01,Personal Injury
1656,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3109,2016,2016-08-01,Material Damage
1657,Inside built-up areas,Personal injury accidents,20440,2021,2021-09-01,Personal Injury
1658,Inside built-up areas,Other accidents involving material damage,138129,2023,2023-06-01,Other Material Damage
1659,Total,Other accidents involving material damage,193877,2019,2019-12-01,Other Material Damage
1660,Total,Other accidents involving intoxication,1280,2018,2018-11-01,Intoxication
1661,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7285,2012,2012-05-01,Personal Injury
1662,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3030,2019,2019-06-01,Material Damage
1663,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,5117,2013,2013-01-01,Personal Injury
1664,On motorways/freeways,Personal injury accidents,1043,2020,2020-03-01,Personal Injury
1665,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7451,2011,2011-09-01,Personal Injury
1666,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,152,2021,2021-05-01,Intoxication
1667,Total,Other accidents involving intoxication,1224,2023,2023-01-01,Intoxication
1668,Inside built-up areas,Other accidents involving intoxication,1075,2013,2013-06-01,Intoxication
1669,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,179,2019,2019-05-01,Intoxication
1670,Total,Serious acc. invol. mat.damage in the nearer sense,5988,2017,2017-07-01,Material Damage
1671,On motorways/freeways,Personal injury accidents,1572,2015,2015-12-01,Personal Injury
1672,Inside built-up areas,Personal injury accidents,16210,2011,2011-12-01,Personal Injury
1673,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,730,2021,2021-10-01,Material Damage
1674,On motorways/freeways,Total,16291,2017,2017-07-01,Total
1675,On motorways/freeways,Other accidents involving intoxication,60,2020,2020-10-01,Intoxication
1676,Total,Other accidents involving material damage,165824,2022,2022-08-01,Other Material Damage
1677,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,657,2014,2014-11-01,Material Damage
1678,Total,Total,211809,2011,2011-05-01,Total
1679,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,944,2014,2014-05-01,Material Damage
1680,On motorways/freeways,Personal injury accidents,1627,2012,2012-08-01,Personal Injury
1681,Total,Serious acc. invol. mat.damage in the nearer sense,6695,2011,2011-07-01,Material Damage
1682,Outside built-up areas (excl. motorways/freeways),Total,39049,2024,2024-08-01,Total
1683,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,1060,2015,2015-01-01,Material Damage
1684,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,966,2013,2013-09-01,Material Damage
1685,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,187,2018,2018-03-01,Intoxication
1686,Outside built-up areas (excl. motorways/freeways),Total,43663,2024,2024-01-01,Total
1687,Total,Other accidents involving intoxication,1327,2023,2023-06-01,Intoxication
1688,On motorways/freeways,Total,13751,2011,2011-07-01,Total
1689,Inside built-up areas,Other accidents involving intoxication,1068,2018,2018-11-01,Intoxication
1690,On motorways/freeways,Other accidents involving intoxication,49,2014,2014-07-01,Intoxication
1691,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1491,2019,2019-09-01,Material Damage
1692,Inside built-up areas,Other accidents involving intoxication,822,2020,2020-11-01,Intoxication
1693,Total,Total,200013,2021,2021-08-01,Total
1694,Inside built-up areas,Total,163724,2023,2023-11-01,Total
1695,On motorways/freeways,Other accidents involving material damage,11463,2019,2019-01-01,Other Material Damage
1696,Inside built-up areas,Other accidents involving material damage,118222,2012,2012-08-01,Other Material Damage
1697,Total,Total,238710,2016,2016-11-01,Total
1698,Outside built-up areas (excl. motorways/freeways),Total,37582,2016,2016-03-01,Total
1699,Total,Personal injury accidents,18632,2022,2022-12-01,Personal Injury
1700,On motorways/freeways,Personal injury accidents,1311,2013,2013-04-01,Personal Injury
1701,On motorways/freeways,Other accidents involving intoxication,61,2013,2013-05-01,Intoxication
1702,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,173,2012,2012-11-01,Intoxication
1703,Total,Total,203847,2024,2024-01-01,Total
1704,Inside built-up areas,Personal injury accidents,21670,2018,2018-05-01,Personal Injury
1705,Inside built-up areas,Other accidents involving material damage,142990,2023,2023-11-01,Other Material Damage
1706,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,173,2022,2022-07-01,Intoxication
1707,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,33523,2020,2020-07-01,Other Material Damage
1708,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,36846,2017,2017-01-01,Other Material Damage
1709,Total,Serious acc. invol. mat.damage in the nearer sense,4545,2020,2020-07-01,Material Damage
1710,Total,Personal injury accidents,28660,2023,2023-07-01,Personal Injury
1711,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,163,2021,2021-01-01,Intoxication
1712,Total,Personal injury accidents,17355,2015,2015-02-01,Personal Injury
1713,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,2800,2023,2023-07-01,Material Damage
1714,On motorways/freeways,Personal injury accidents,1486,2022,2022-11-01,Personal Injury
1715,On motorways/freeways,Other accidents involving intoxication,64,2019,2019-12-01,Intoxication
1716,Outside built-up areas (excl. motorways/freeways),Total,41933,2011,2011-05-01,Total
1717,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,1139,2011,2011-07-01,Material Damage
1718,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,139,2019,2019-01-01,Intoxication
1719,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1409,2011,2011-04-01,Material Damage
1720,On motorways/freeways,Other accidents involving intoxication,81,2021,2021-12-01,Intoxication
1721,On motorways/freeways,Other accidents involving material damage,10583,2015,2015-04-01,Other Material Damage
1722,On motorways/freeways,Other accidents involving intoxication,57,2015,2015-09-01,Intoxication
1723,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,135,2020,2020-03-01,Intoxication
1724,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,41990,2021,2021-10-01,Other Material Damage
1725,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,34717,2011,2011-10-01,Other Material Damage
1726,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1405,2013,2013-06-01,Material Damage
1727,Total,Total,208249,2023,2023-03-01,Total
1728,Total,Total,205369,2022,2022-06-01,Total
1729,Total,Other accidents involving intoxication,1207,2012,2012-03-01,Intoxication
1730,Inside built-up areas,Personal injury accidents,11741,2012,2012-02-01,Personal Injury
1731,On motorways/freeways,Other accidents involving intoxication,61,2013,2013-09-01,Intoxication
1732,On motorways/freeways,Total,15200,2024,2024-10-01,Total
1733,Total,Other accidents involving intoxication,1279,2015,2015-05-01,Intoxication
1734,Total,Personal injury accidents,25664,2021,2021-10-01,Personal Injury
1735,Total,Total,181651,2012,2012-02-01,Total
1736,Inside built-up areas,Personal injury accidents,19160,2014,2014-10-01,Personal Injury
1737,Outside built-up areas (excl. motorways/freeways),Total,44963,2011,2011-12-01,Total
1738,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1979,2011,2011-10-01,Material Damage
1739,Inside built-up areas,Personal injury accidents,20077,2024,2024-08-01,Personal Injury
1740,Total,Other accidents involving material damage,129806,2021,2021-01-01,Other Material Damage
1741,On motorways/freeways,Other accidents involving material damage,12620,2019,2019-09-01,Other Material Damage
1742,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3255,2017,2017-04-01,Material Damage
1743,Outside built-up areas (excl. motorways/freeways),Total,47967,2017,2017-05-01,Total
1744,On motorways/freeways,Total,11902,2020,2020-07-01,Total
1745,Inside built-up areas,Total,159509,2015,2015-06-01,Total
1746,Outside built-up areas (excl. motorways/freeways),Total,47659,2016,2016-10-01,Total
1747,Total,Other accidents involving material damage,183261,2017,2017-01-01,Other Material Damage
1748,Inside built-up areas,Total,154035,2014,2014-11-01,Total
1749,Inside built-up areas,Other accidents involving material damage,115332,2012,2012-04-01,Other Material Damage
1750,On motorways/freeways,Other accidents involving material damage,10471,2022,2022-07-01,Other Material Damage
1751,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,2100,2013,2013-12-01,Material Damage
1752,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3818,2019,2019-12-01,Material Damage
1753,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3893,2011,2011-01-01,Material Damage
1754,Inside built-up areas,Other accidents involving material damage,122493,2022,2022-08-01,Other Material Damage
1755,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,5578,2012,2012-11-01,Personal Injury
1756,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,4276,2013,2013-03-01,Material Damage
1757,On motorways/freeways,Other accidents involving intoxication,67,2018,2018-10-01,Intoxication
1758,Total,Other accidents involving material damage,179275,2018,2018-08-01,Other Material Damage
1759,Total,Personal injury accidents,30224,2022,2022-05-01,Personal Injury
1760,Total,Serious acc. invol. mat.damage in the nearer sense,5442,2024,2024-10-01,Material Damage
1761,Total,Other accidents involving material damage,167130,2012,2012-06-01,Other Material Damage
1762,Total,Other accidents involving intoxication,1417,2012,2012-08-01,Intoxication
1763,On motorways/freeways,Other accidents involving material damage,10985,2012,2012-10-01,Other Material Damage
1764,On motorways/freeways,Other accidents involving intoxication,76,2017,2017-12-01,Intoxication
1765,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,34756,2018,2018-12-01,Other Material Damage
1766,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,37499,2024,2024-04-01,Other Material Damage
1767,Total,Personal injury accidents,25293,2013,2013-05-01,Personal Injury
1768,Total,Total,214720,2020,2020-10-01,Total
1769,Inside built-up areas,Other accidents involving intoxication,1012,2014,2014-04-01,Intoxication
1770,Inside built-up areas,Personal injury accidents,16722,2018,2018-11-01,Personal Injury
1771,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,181,2023,2023-09-01,Intoxication
1772,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,998,2023,2023-12-01,Material Damage
1773,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,173,2022,2022-03-01,Intoxication
1774,Inside built-up areas,Other accidents involving material damage,125252,2015,2015-01-01,Other Material Damage
1775,Total,Other accidents involving material damage,177781,2024,2024-01-01,Other Material Damage
1776,On motorways/freeways,Other accidents involving material damage,10529,2012,2012-07-01,Other Material Damage
